OrgUnit,UID,Code,Parent,Short name,Description,Opening date,Closed date,comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
PRY Local Education Authority Primary School Kangang (31060250),uwKtYycmY17,31060250,nlldQqQk58h,PRY Local Education Authority Primary School Kan,,2005-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kanadap (31060249),wMhkU67Qkpa,31060249,nlldQqQk58h,PRY Local Education Authority Primary School Kan,,1990-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kafanchan (31060248),Wjk2Rfbmnuq,31060248,nlldQqQk58h,PRY Local Education Authority Primary School Kaf,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Jihei (31060247),zGhrM9d5Ue7,31060247,nlldQqQk58h,PRY Local Education Authority Primary School Jih,,2014-01-01,,,,,,,,,
PRY Local Education Authority Primary School Ji- Giring (31060246),UitoNKxj9HQ,31060246,nlldQqQk58h,PRY Local Education Authority Primary School Ji-,,2001-01-01,,,,,,,,,
PRY Obasanjo Model Primaryschool  Hwolshe B (31060244),lqXCyMl7Shz,31060244,nlldQqQk58h,PRY Obasanjo Model Primaryschool  Hwolshe B (310,,1945-01-01,,,,,,,,,
PRY Obasanjo Model Primary School  Hwolshe A (31060243),sbgCcfWUwih,31060243,nlldQqQk58h,PRY Obasanjo Model Primary School  Hwolshe A (31,,1942-01-01,,,,,,,,,
PRY Local Education Authority Primary School Hugyang (31060242),FZgWNDfenLQ,31060242,nlldQqQk58h,PRY Local Education Authority Primary School Hug,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Heita (31060241),hXGSKRB6dNa,31060241,nlldQqQk58h,PRY Local Education Authority Primary School Hei,,1976-01-01,,,,,,,,,
PRY Local Education Authority Primary School Gyero Gyel (31060240),Pjkr8G7Xfjj,31060240,nlldQqQk58h,PRY Local Education Authority Primary School Gye,,1977-01-01,,,,,,,,,
PRY Local Education Authority Primary School Gura Pwana (31060239),N0UwsGEyNSS,31060239,nlldQqQk58h,PRY Local Education Authority Primary School Gur,,2010-01-01,,,,,,,,,
PRY Local Education Authority Primary School Gura Riyom (31060238),HKUd5d1B3w3,31060238,nlldQqQk58h,PRY Local Education Authority Primary School Gur,,2003-01-01,,,,,,,,,
PRY Local Education Authority Primary School Gura Deme (31060237),O6co9jODxAq,31060237,nlldQqQk58h,PRY Local Education Authority Primary School Gur,,2011-01-01,,,,,,,,,
PRY Local Education Authority Primary School Gura Dabwam (31060236),cqTn1dOeq3O,31060236,nlldQqQk58h,PRY Local Education Authority Primary School Gur,,2002-01-01,,,,,,,,,
PRY Local Education Authority Primary School Gwohong (31060235),KRufry7SRvO,31060235,nlldQqQk58h,PRY Local Education Authority Primary School Gwo,,2009-01-01,,,,,,,,,
PRY Local Education Authority Primary School Gazok (31060234),HyJRdtYNoAi,31060234,nlldQqQk58h,PRY Local Education Authority Primary School Gaz,,2010-01-01,,,,,,,,,
PRY Local Education Authority Primary School Fwil (31060233),VzTep9xSUUJ,31060233,nlldQqQk58h,PRY Local Education Authority Primary School Fwi,,1976-01-01,,,,,,,,,
