OrgUnit,UID,Code,Parent,Short name,Description,Opening date,Closed date,comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
PVT Shalom Hills Academy International (32151523),nAOJwtLrkhv,32151523,NGKTK44Mo4p,PVT Shalom Hills Academy International (32151523,,2020-01-01,,,,,,,,,
PVT Seed Of Wisdom International School Rumuigbo (32151521),ezMRgHVOoqx,32151521,NGKTK44Mo4p,PVT Seed Of Wisdom International School Rumuigbo,,2006-01-01,,,,,,,,,
PVT Seed Of Excellence International Schools (32151520),wISVga7HxrO,32151520,NGKTK44Mo4p,PVT Seed Of Excellence International Schools (32,,2014-01-01,,,,,,,,,
PVT Sechib International School (32151519),cPrCrdjcue2,32151519,NGKTK44Mo4p,PVT Sechib International School (32151519),,2019-01-01,,,,,,,,,
PVT Saint Johns Montessori Nursery Primary School (32151513),weA8dS3IvNm,32151513,NGKTK44Mo4p,PVT Saint Johns Montessori Nursery Primary Schoo,,1982-01-01,,,,,,,,,
PVT Rubies Academy (32151511),VemiEHETA7j,32151511,NGKTK44Mo4p,PVT Rubies Academy (32151511),,2012-01-01,,,,,,,,,
PVT Royal Seat International School (32151509),XmcuAynAotr,32151509,NGKTK44Mo4p,PVT Royal Seat International School (32151509),,2011-01-01,,,,,,,,,
PVT Royal Excellence International School (32151508),PzbxaS7lSVE,32151508,NGKTK44Mo4p,PVT Royal Excellence International School (32151,,2013-01-01,,,,,,,,,
PVT Rosymon International School (32151502),BiiLGNkEx9g,32151502,NGKTK44Mo4p,PVT Rosymon International School (32151502),,2009-01-01,,,,,,,,,
PVT Rosvin International School (32151499),qnJmVRD2xAM,32151499,NGKTK44Mo4p,PVT Rosvin International School (32151499),,2014-01-01,,,,,,,,,
PVT Rosewood Montessori School (32151498),a7Vw5dypxX9,32151498,NGKTK44Mo4p,PVT Rosewood Montessori School (32151498),,2020-01-01,,,,,,,,,
PVT Ritch Model Schools (32151495),MmnL1yZw1cC,32151495,NGKTK44Mo4p,PVT Ritch Model Schools (32151495),,2010-01-01,,,,,,,,,
PVT Richwood International School (32151492),reVoiTrVya1,32151492,NGKTK44Mo4p,PVT Richwood International School (32151492),,2016-01-01,,,,,,,,,
PVT Redemption School (32151486),Ymfr6qcHyv2,32151486,NGKTK44Mo4p,PVT Redemption School (32151486),,1999-01-01,,,,,,,,,
PVT Redeemers Prime School (32151485),m8TNT5kc4Gh,32151485,NGKTK44Mo4p,PVT Redeemers Prime School (32151485),,2016-01-01,,,,,,,,,
PVT Read-On International Academy (32151481),HguR0JSMLQs,32151481,NGKTK44Mo4p,PVT Read-On International Academy (32151481),,2017-01-01,,,,,,,,,
PVT Purity Kids Montessori School (32151478),K3xSk54RO5V,32151478,NGKTK44Mo4p,PVT Purity Kids Montessori School (32151478),,2019-01-01,,,,,,,,,
PVT Prograto International School (32151473),v43CCp2Nxd9,32151473,NGKTK44Mo4p,PVT Prograto International School (32151473),,2015-01-01,,,,,,,,,
PVT Prevailing Chidren Academy (32151471),WroXB9LRNoQ,32151471,NGKTK44Mo4p,PVT Prevailing Chidren Academy (32151471),,2009-01-01,,,,,,,,,
PVT Precious Future Seed School (32151468),KY7Zgqd0G3r,32151468,NGKTK44Mo4p,PVT Precious Future Seed School (32151468),,2010-01-01,,,,,,,,,
PVT Praise-El Premier School (32151465),Iy5ZcAwkHqq,32151465,NGKTK44Mo4p,PVT Praise-El Premier School (32151465),,2010-01-01,,,,,,,,,
PVT Pleasant Brains International School (32151463),UMbVkAOkys2,32151463,NGKTK44Mo4p,PVT Pleasant Brains International School (321514,,2015-01-01,,,,,,,,,
PVT Picton Height Intl School (32151462),GFBdk9ZRg91,32151462,NGKTK44Mo4p,PVT Picton Height Intl School (32151462),,2016-01-01,,,,,,,,,
PVT Perfect Start Academy (32151460),IVtffGVFHzx,32151460,NGKTK44Mo4p,PVT Perfect Start Academy (32151460),,2016-01-01,,,,,,,,,
PVT Penielville International School (32151459),Q8B0okA5OQA,32151459,NGKTK44Mo4p,PVT Penielville International School (32151459),,1909-01-01,,,,,,,,,
PVT Pen-Dan Heritage Heights Academy (32151458),QAPDJzE1owI,32151458,NGKTK44Mo4p,PVT Pen-Dan Heritage Heights Academy (32151458),,2016-01-01,,,,,,,,,
PVT Pegeet Model School (32151457),qltTYKmgBHV,32151457,NGKTK44Mo4p,PVT Pegeet Model School (32151457),,2014-01-01,,,,,,,,,
PVT Paracleto International School (32151449),spl5JeKHWal,32151449,NGKTK44Mo4p,PVT Paracleto International School (32151449),,2008-01-01,,,,,,,,,
PVT Palma Perazim Academy (32151448),XoIrSkUij8u,32151448,NGKTK44Mo4p,PVT Palma Perazim Academy (32151448),,2018-01-01,,,,,,,,,
PVT Orbit Montessori School (32151442),du0EYzgRUXD,32151442,NGKTK44Mo4p,PVT Orbit Montessori School (32151442),,2009-01-01,,,,,,,,,
PVT Optimal Stars International Schools (32151441),GAyhBNdzgWH,32151441,NGKTK44Mo4p,PVT Optimal Stars International Schools (3215144,,2019-01-01,,,,,,,,,
PVT Opendoors International School (32151440),bfOneVJAgyB,32151440,NGKTK44Mo4p,PVT Opendoors International School (32151440),,2014-01-01,,,,,,,,,
PVT Omini Blessed International Academy (32151439),necqgBOQiAp,32151439,NGKTK44Mo4p,PVT Omini Blessed International Academy (3215143,,2011-01-01,,,,,,,,,
PVT Omega Academy (32151438),j6p9PrWlhFk,32151438,NGKTK44Mo4p,PVT Omega Academy (32151438),,2010-01-01,,,,,,,,,
PVT Oakdale International School (32151429),kPBEVVZTMxP,32151429,NGKTK44Mo4p,PVT Oakdale International School (32151429),,2013-01-01,,,,,,,,,
PVT Oakbreed International Schools (32151427),z0Jcjg0n62j,32151427,NGKTK44Mo4p,PVT Oakbreed International Schools (32151427),,2015-01-01,,,,,,,,,
PVT Nuj Gold Stone Montessori School (32151426),ZaMWEwLKv2b,32151426,NGKTK44Mo4p,PVT Nuj Gold Stone Montessori School (32151426),,2013-01-01,,,,,,,,,
PVT Norden Foundation Academy (32151423),TLwqo2qCLlV,32151423,NGKTK44Mo4p,PVT Norden Foundation Academy (32151423),,2018-01-01,,,,,,,,,
PVT Nicefield International School (32151421),W0bn8F833rx,32151421,NGKTK44Mo4p,PVT Nicefield International School (32151421),,2013-01-01,,,,,,,,,
PVT New Dawn Educational Centre Rumuowha (32151416),qSK6ZURO4Kb,32151416,NGKTK44Mo4p,PVT New Dawn Educational Centre Rumuowha (321514,,1998-01-01,,,,,,,,,
PVT Neo Signs And Wonders Intl School (32151415),OwpfBJl5mT3,32151415,NGKTK44Mo4p,PVT Neo Signs And Wonders Intl School (32151415),,2009-01-01,,,,,,,,,
PVT Nazareth Schools (32151413),oP4zyeSq6xp,32151413,NGKTK44Mo4p,PVT Nazareth Schools (32151413),,1998-01-01,,,,,,,,,
PVT Morrison International School (32151410),KQdZhsJ5xgz,32151410,NGKTK44Mo4p,PVT Morrison International School (32151410),,2011-01-01,,,,,,,,,
PVT Morning Star International Learning Citadel Rumueme (32151409),iAXEoJkR97b,32151409,NGKTK44Mo4p,PVT Morning Star International Learning Citadel ,,2012-01-01,,,,,,,,,
PVT Modern Rapid Academy (32151407),acR2veHyGPR,32151407,NGKTK44Mo4p,PVT Modern Rapid Academy (32151407),,2012-01-01,,,,,,,,,
PVT Mater Ecclesiae Nursery And Primary School (32151400),WidMBzio37o,32151400,NGKTK44Mo4p,PVT Mater Ecclesiae Nursery And Primary School (,,2020-01-01,,,,,,,,,
PVT Maryland Stars Montessori School (32151398),vFE9lOQpa7Z,32151398,NGKTK44Mo4p,PVT Maryland Stars Montessori School (32151398),,2008-01-01,,,,,,,,,
PVT Mary Pearl Ville Academy (32151397),GWTabxrvwEw,32151397,NGKTK44Mo4p,PVT Mary Pearl Ville Academy (32151397),,2011-01-01,,,,,,,,,
PVT Marvellous Light Nternational School (32151396),WjSHmQsHYJD,32151396,NGKTK44Mo4p,PVT Marvellous Light Nternational School (321513,,2016-01-01,,,,,,,,,
PVT Mapat Academy (32151393),dedzMjIf5CJ,32151393,NGKTK44Mo4p,PVT Mapat Academy (32151393),,2018-01-01,,,,,,,,,
PVT Malvan International Sschool (32151392),D0pwsY63GwO,32151392,NGKTK44Mo4p,PVT Malvan International Sschool (32151392),,2005-01-01,,,,,,,,,
PVT Madonna Montessori Nursery And Primary School (32151388),QVFoYU1oGzm,32151388,NGKTK44Mo4p,PVT Madonna Montessori Nursery And Primary Schoo,,1996-01-01,,,,,,,,,
PVT Loving Parent Pride Academy (32151382),lLPGOphs8AU,32151382,NGKTK44Mo4p,PVT Loving Parent Pride Academy (32151382),,2014-01-01,,,,,,,,,
PVT Lotus Excellence Montessori School (32151381),lrBrP3vjmYZ,32151381,NGKTK44Mo4p,PVT Lotus Excellence Montessori School (32151381,,2011-01-01,,,,,,,,,
PVT Living Proof International Academy (32151375),T6OQerDC9YR,32151375,NGKTK44Mo4p,PVT Living Proof International Academy (32151375,,2017-01-01,,,,,,,,,
PVT Little Angel School (32151373),afhU7z9Bo0p,32151373,NGKTK44Mo4p,PVT Little Angel School (32151373),,2011-01-01,,,,,,,,,
PVT Lincoln Comprehensive College Rumuola (32151372),UJxb4ilF6Ug,32151372,NGKTK44Mo4p,PVT Lincoln Comprehensive College Rumuola (32151,,1994-01-01,,,,,,,,,
PVT Light House Royal Academy (32151371),clOTH408JU6,32151371,NGKTK44Mo4p,PVT Light House Royal Academy (32151371),,2016-01-01,,,,,,,,,
PVT Light Answer Academy International (32151370),lErUKnJZIS5,32151370,NGKTK44Mo4p,PVT Light Answer Academy International (32151370,,2015-01-01,,,,,,,,,
PVT Life Education Nursery And Primary School (32151369),AtM3UBZLAYR,32151369,NGKTK44Mo4p,PVT Life Education Nursery And Primary School (3,,1999-01-01,,,,,,,,,
PVT Learners Field Intl School (32151366),IVtrZV8siu2,32151366,NGKTK44Mo4p,PVT Learners Field Intl School (32151366),,2001-01-01,,,,,,,,,
PVT Lardford International (32151362),nuRexdUjEzi,32151362,NGKTK44Mo4p,PVT Lardford International (32151362),,2005-01-01,,,,,,,,,
PVT Lapierreangulaire High School And Primary School (32151361),ChLVYt9SVMi,32151361,NGKTK44Mo4p,PVT Lapierreangulaire High School And Primary Sc,,2005-01-01,,,,,,,,,
PVT Le Potier International School (32151360),wN8BBzV2pOR,32151360,NGKTK44Mo4p,PVT Le Potier International School (32151360),,2016-01-01,,,,,,,,,
PVT Kindercare Montessori International School (32151356),UhxCmQBjT3z,32151356,NGKTK44Mo4p,PVT Kindercare Montessori International School (,,2002-01-01,,,,,,,,,
PVT Kellahills International School (32151353),Bkus5usOP4C,32151353,NGKTK44Mo4p,PVT Kellahills International School (32151353),,2018-01-01,,,,,,,,,
PVT Kayomaria International School (32151352),GUJUHXGVuXx,32151352,NGKTK44Mo4p,PVT Kayomaria International School (32151352),,2019-01-01,,,,,,,,,
PVT Kapna International Academy (32151350),eMEXtMtjz5u,32151350,NGKTK44Mo4p,PVT Kapna International Academy (32151350),,2013-01-01,,,,,,,,,
PVT Kacious Treasure Academy (32151347),TOjOFh2MeyI,32151347,NGKTK44Mo4p,PVT Kacious Treasure Academy (32151347),,2018-01-01,,,,,,,,,
PVT Joy Citadel School (32151346),o4imj1zFC7e,32151346,NGKTK44Mo4p,PVT Joy Citadel School (32151346),,2006-01-01,,,,,,,,,
PVT Joe Hybrid Academy (32151343),O7RJ7PXCppi,32151343,NGKTK44Mo4p,PVT Joe Hybrid Academy (32151343),,2005-01-01,,,,,,,,,
PVT Jexalted International School (32151341),rXg0qYg4gIc,32151341,NGKTK44Mo4p,PVT Jexalted International School (32151341),,2017-01-01,,,,,,,,,
PVT Jewel Sarah Memorial School (32151339),Xio5T6e0Ngi,32151339,NGKTK44Mo4p,PVT Jewel Sarah Memorial School (32151339),,2004-01-01,,,,,,,,,
PVT Jet International School (32151338),dyXl4WmZVtn,32151338,NGKTK44Mo4p,PVT Jet International School (32151338),,2010-01-01,,,,,,,,,
PVT Jesus Cares School (32151334),ZfXQd6JLD4C,32151334,NGKTK44Mo4p,PVT Jesus Cares School (32151334),,2004-01-01,,,,,,,,,
PVT Jessica International School (32151332),HPJ9pdLKCN3,32151332,NGKTK44Mo4p,PVT Jessica International School (32151332),,2011-01-01,,,,,,,,,
PVT Jarspok Montessori International School (32151328),K0QN5JKC2uE,32151328,NGKTK44Mo4p,PVT Jarspok Montessori International School (321,,2008-01-01,,,,,,,,,
PVT Izibridge Crown Academy (32151327),CUg2jPcVST9,32151327,NGKTK44Mo4p,PVT Izibridge Crown Academy (32151327),,2015-01-01,,,,,,,,,
PVT Intellectual Education Academy Limited (32151321),XjF74jkib7p,32151321,NGKTK44Mo4p,PVT Intellectual Education Academy Limited (3215,,2014-01-01,,,,,,,,,
PVT Instincts Academy 1 Eduwin Ogbonda Gbalajam (32151320),jX6cB68CGel,32151320,NGKTK44Mo4p,PVT Instincts Academy 1 Eduwin Ogbonda Gbalajam ,,2016-01-01,,,,,,,,,
PVT Inspired Brain Academy (32151319),V5gTcnxSSpJ,32151319,NGKTK44Mo4p,PVT Inspired Brain Academy (32151319),,2016-01-01,,,,,,,,,
PVT Immaculate Star Seed Montessori Nurs &Amp; Prim School Elioparanwo (32151317),UPsQdiM7gnZ,32151317,NGKTK44Mo4p,PVT Immaculate Star Seed Montessori Nurs &Amp; P,,2008-01-01,,,,,,,,,
PVT Ideal School (32151313),u5UBiHAOrWp,32151313,NGKTK44Mo4p,PVT Ideal School (32151313),,1997-01-01,,,,,,,,,
PVT House Of Gold International School (32151311),F1luproXA4K,32151311,NGKTK44Mo4p,PVT House Of Gold International School (32151311,,2019-01-01,,,,,,,,,
PVT Honourable Kids Montessori School (32151309),Jcs1AMSJhKq,32151309,NGKTK44Mo4p,PVT Honourable Kids Montessori School (32151309),,2013-01-01,,,,,,,,,
PVT Holy Cross International Scool (32151307),kkRPjL2utar,32151307,NGKTK44Mo4p,PVT Holy Cross International Scool (32151307),,2010-01-01,,,,,,,,,
PVT High Cast International Academy Mgbuoba (32151303),L4zOzGYtUcW,32151303,NGKTK44Mo4p,PVT High Cast International Academy Mgbuoba (321,,2007-01-01,,,,,,,,,
PVT Heroes World International Schools (32151302),RrHia0q7F25,32151302,NGKTK44Mo4p,PVT Heroes World International Schools (32151302,,2015-01-01,,,,,,,,,
PVT Heroes List International Science School (32151301),Dzhkg4VQyKp,32151301,NGKTK44Mo4p,PVT Heroes List International Science School (32,,2004-01-01,,,,,,,,,
PVT Heroes Foundation Intl Montessori Schools (32151299),jAfzi9eJY7G,32151299,NGKTK44Mo4p,PVT Heroes Foundation Intl Montessori Schools (3,,2014-01-01,,,,,,,,,
PVT Hephzibah International School (32151296),bcfDsaCOQk7,32151296,NGKTK44Mo4p,PVT Hephzibah International School (32151296),,2008-01-01,,,,,,,,,
PVT Helmbo Education Academy (32151294),lEtMpJTK0lN,32151294,NGKTK44Mo4p,PVT Helmbo Education Academy (32151294),,1996-01-01,,,,,,,,,
PVT Hedas Prudent School Rumuchiorlu (32151292),xYKHDY7xmRf,32151292,NGKTK44Mo4p,PVT Hedas Prudent School Rumuchiorlu (32151292),,2010-01-01,,,,,,,,,
PVT Heavenly Stars Academy (32151291),WPFg9VZMRgF,32151291,NGKTK44Mo4p,PVT Heavenly Stars Academy (32151291),,2014-01-01,,,,,,,,,
PVT Harold Nursery Primary And Secondary School (32151288),Xfsdf9nGTLV,32151288,NGKTK44Mo4p,PVT Harold Nursery Primary And Secondary School ,,1999-01-01,,,,,,,,,
PVT Harmony International School (32151287),JZPxmYyeIk4,32151287,NGKTK44Mo4p,PVT Harmony International School (32151287),,2021-01-01,,,,,,,,,
PVT Gregof International College Rumuolumeni (32151283),LkI8o6WWqYR,32151283,NGKTK44Mo4p,PVT Gregof International College Rumuolumeni (32,,2013-01-01,,,,,,,,,
PVT Greenwood Hills International School (32151282),K85P2zbs06n,32151282,NGKTK44Mo4p,PVT Greenwood Hills International School (321512,,2006-01-01,,,,,,,,,
PVT Great Stars Model Schools (32151274),F27qGkiK8o1,32151274,NGKTK44Mo4p,PVT Great Stars Model Schools (32151274),,2011-01-01,,,,,,,,,
PVT Great Passion International School (32151273),LZ4j4ho0B2R,32151273,NGKTK44Mo4p,PVT Great Passion International School (32151273,,2020-01-01,,,,,,,,,
PVT Great Oaks Model School (32151272),ylyTqZaVO0z,32151272,NGKTK44Mo4p,PVT Great Oaks Model School (32151272),,2007-01-01,,,,,,,,,
PVT Great Lights Heritage International School Rumuigbo (32151270),SEujBOxucp1,32151270,NGKTK44Mo4p,PVT Great Lights Heritage International School R,,2020-01-01,,,,,,,,,
PVT Great Golden International School (32151269),UJTMC07r93q,32151269,NGKTK44Mo4p,PVT Great Golden International School (32151269),,2018-01-01,,,,,,,,,
PVT Graneur Intl School (32151265),pwp87yv6l9S,32151265,NGKTK44Mo4p,PVT Graneur Intl School (32151265),,3709-01-01,,,,,,,,,
PVT Gospel Nur &Amp; Pri School (32151259),Te1akp9A9bX,32151259,NGKTK44Mo4p,PVT Gospel Nur &Amp; Pri School (32151259),,1990-01-01,,,,,,,,,
PVT Goodnews Child Development Centre (32151258),AFmvWQnj8ht,32151258,NGKTK44Mo4p,PVT Goodnews Child Development Centre (32151258),,2007-01-01,,,,,,,,,
PVT Golden-Stars Montessori Academy (32151255),EPunAWUqROT,32151255,NGKTK44Mo4p,PVT Golden-Stars Montessori Academy (32151255),,2011-01-01,,,,,,,,,
PVT Glory Rehoboth (32151241),db5BGUnJnCP,32151241,NGKTK44Mo4p,PVT Glory Rehoboth (32151241),,2013-01-01,,,,,,,,,
PVT Glorious Academy Nursery Primary School (32151237),Xp6bFDlgzy5,32151237,NGKTK44Mo4p,PVT Glorious Academy Nursery Primary School (321,,2015-01-01,,,,,,,,,
PVT Glorious Child Academy Rumuigbo (32151235),lc33338Me5N,32151235,NGKTK44Mo4p,PVT Glorious Child Academy Rumuigbo (32151235),,2014-01-01,,,,,,,,,
PVT Gloria Education Centre Elioparanwo (32151233),rGH0WiPcaTe,32151233,NGKTK44Mo4p,PVT Gloria Education Centre Elioparanwo (3215123,,1998-01-01,,,,,,,,,
PVT Gloligiht International Academy (32151232),MS6OTbbhbMq,32151232,NGKTK44Mo4p,PVT Gloligiht International Academy (32151232),,2016-01-01,,,,,,,,,
PVT Global Success Gate Academy (32151230),YrSXTKnqSo0,32151230,NGKTK44Mo4p,PVT Global Success Gate Academy (32151230),,2006-01-01,,,,,,,,,
PVT Global Stars Int&#039;L School (32151229),HPb8pkXDzl5,32151229,NGKTK44Mo4p,PVT Global Stars Int&#039;L School (32151229),,2017-01-01,,,,,,,,,
PVT Gilgal Imperial Academy (32151226),prFoT6MWp0M,32151226,NGKTK44Mo4p,PVT Gilgal Imperial Academy (32151226),,2012-01-01,,,,,,,,,
PVT Georgnton Intl Academy (32151221),TL0YXRTzqx5,32151221,NGKTK44Mo4p,PVT Georgnton Intl Academy (32151221),,2016-01-01,,,,,,,,,
PVT Geoco International School (32151220),h4agOLriupK,32151220,NGKTK44Mo4p,PVT Geoco International School (32151220),,2007-01-01,,,,,,,,,
PVT Gadhol Kids School (32151217),jgymHw5uqEi,32151217,NGKTK44Mo4p,PVT Gadhol Kids School (32151217),,2014-01-01,,,,,,,,,
PVT Gabkins International Academy (32151216),eYIzN8Ghl5Z,32151216,NGKTK44Mo4p,PVT Gabkins International Academy (32151216),,2019-01-01,,,,,,,,,
PVT Future Leaders Intl School (32151214),anUgBPd4jpB,32151214,NGKTK44Mo4p,PVT Future Leaders Intl School (32151214),,2015-01-01,,,,,,,,,
PVT Frasi Model School (32151213),TuI7JezNLLq,32151213,NGKTK44Mo4p,PVT Frasi Model School (32151213),,2009-01-01,,,,,,,,,
PVT Frankshire International School (32151212),u8TTUpdgRgx,32151212,NGKTK44Mo4p,PVT Frankshire International School (32151212),,2014-01-01,,,,,,,,,
PVT Foundation Nursery And Primary School (32151208),gG4HsoIrUr9,32151208,NGKTK44Mo4p,PVT Foundation Nursery And Primary School (32151,,1987-01-01,,,,,,,,,
PVT Fonsa Divine Favour Academy Elioparanwo (32151207),Rpxpc83n67W,32151207,NGKTK44Mo4p,PVT Fonsa Divine Favour Academy Elioparanwo (321,,2003-01-01,,,,,,,,,
PVT Flock Of Christ Montessori School (32151205),ltL8n22YSOr,32151205,NGKTK44Mo4p,PVT Flock Of Christ Montessori School (32151205),,2000-01-01,,,,,,,,,
PVT First International Academy (32151204),Z1p2I0nXc61,32151204,NGKTK44Mo4p,PVT First International Academy (32151204),,1997-01-01,,,,,,,,,
PVT Fibella International School (32151203),DYdTMrELOKL,32151203,NGKTK44Mo4p,PVT Fibella International School (32151203),,2003-01-01,,,,,,,,,
PVT Faron Academy (32151199),ytNgc3PojQQ,32151199,NGKTK44Mo4p,PVT Faron Academy (32151199),,2012-01-01,,,,,,,,,
PVT Faith International Centre (32151197),isCvlbydQcW,32151197,NGKTK44Mo4p,PVT Faith International Centre (32151197),,1989-01-01,,,,,,,,,
PVT Fairyland Montessori Academy (32151195),m1I2VTxutEQ,32151195,NGKTK44Mo4p,PVT Fairyland Montessori Academy (32151195),,3705-01-01,,,,,,,,,
PVT Faalyn Montessori Centre (32151194),hp6bb0pDzCu,32151194,NGKTK44Mo4p,PVT Faalyn Montessori Centre (32151194),,2009-01-01,,,,,,,,,
PVT Excellent Touch Academy (32151193),o7CKhZEiSwc,32151193,NGKTK44Mo4p,PVT Excellent Touch Academy (32151193),,2015-01-01,,,,,,,,,
PVT Excellence Bilingual Academy (32151192),YJVsz9KcvDL,32151192,NGKTK44Mo4p,PVT Excellence Bilingual Academy (32151192),,2008-01-01,,,,,,,,,
PVT Everglittering Star School (32151189),FMh4zwnFzUv,32151189,NGKTK44Mo4p,PVT Everglittering Star School (32151189),,2013-01-01,,,,,,,,,
PVT Erudite Future Glory Citadel (32151184),NiAw1hN2GNN,32151184,NGKTK44Mo4p,PVT Erudite Future Glory Citadel (32151184),,1999-01-01,,,,,,,,,
PVT Emmys Model High School (32151182),pABWZAtFM34,32151182,NGKTK44Mo4p,PVT Emmys Model High School (32151182),,2011-01-01,,,,,,,,,
PVT Eminent International School (32151178),EGiuQvul5BO,32151178,NGKTK44Mo4p,PVT Eminent International School (32151178),,2016-01-01,,,,,,,,,
PVT Emilio Piazza Memorial Schools Rumuigbo (32151177),Qy2LLSqGfBG,32151177,NGKTK44Mo4p,PVT Emilio Piazza Memorial Schools Rumuigbo (321,,1996-01-01,,,,,,,,,
PVT El-Prince International Academy (32151176),JkSqWM6FxPb,32151176,NGKTK44Mo4p,PVT El-Prince International Academy (32151176),,2016-01-01,,,,,,,,,
PVT Elourished Goshen Education Schools (32151175),tnurfTxP3yi,32151175,NGKTK44Mo4p,PVT Elourished Goshen Education Schools (3215117,,2018-01-01,,,,,,,,,
PVT Eldad Transformation Academy (32151169),rKe1eBC6beJ,32151169,NGKTK44Mo4p,PVT Eldad Transformation Academy (32151169),,2004-01-01,,,,,,,,,
PVT El- Gibhor Schools International (32151168),Mw4bl8t9RlA,32151168,NGKTK44Mo4p,PVT El- Gibhor Schools International (32151168),,2019-01-01,,,,,,,,,
PVT Edyliz International School Elelenwo (32151167),cNsObGhTL9H,32151167,NGKTK44Mo4p,PVT Edyliz International School Elelenwo (321511,,2018-01-01,,,,,,,,,
PVT Ebenezer International School Rumukwurushi (32151159),JRKI3APmTYZ,32151159,NGKTK44Mo4p,PVT Ebenezer International School Rumukwurushi (,,2015-01-01,,,,,,,,,
PVT Ebenezer International School Elimgbu (32151158),XtvGUy2mprZ,32151158,NGKTK44Mo4p,PVT Ebenezer International School Elimgbu (32151,,2015-01-01,,,,,,,,,
PVT Early Grip School (32151156),QmLepdMmGLy,32151156,NGKTK44Mo4p,PVT Early Grip School (32151156),,2003-01-01,,,,,,,,,
PVT Early Days Nursery Snd Primary School (32151155),Qp125fUZetS,32151155,NGKTK44Mo4p,PVT Early Days Nursery Snd Primary School (32151,,2005-01-01,,,,,,,,,
PVT Early Achievers International School (32151154),q941gSj3uGP,32151154,NGKTK44Mo4p,PVT Early Achievers International School (321511,,2016-01-01,,,,,,,,,
PVT Eagles Paradox Stars Academy (32151153),K2vnOHI8eCF,32151153,NGKTK44Mo4p,PVT Eagles Paradox Stars Academy (32151153),,2018-01-01,,,,,,,,,
PVT Drusilla Nursery And Primary School (32151151),RbgMIjxMCSh,32151151,NGKTK44Mo4p,PVT Drusilla Nursery And Primary School (3215115,,2010-01-01,,,,,,,,,
PVT Dprekings Heros Academy Rumuolumeni (32151150),X4kmgGXXlVh,32151150,NGKTK44Mo4p,PVT Dprekings Heros Academy Rumuolumeni (3215115,,2015-01-01,,,,,,,,,
PVT Dovecote Education Centre (32151149),BLaraa7RTei,32151149,NGKTK44Mo4p,PVT Dovecote Education Centre (32151149),,2015-01-01,,,,,,,,,
PVT Dovas International School (32151148),YqMdJlWN6Q4,32151148,NGKTK44Mo4p,PVT Dovas International School (32151148),,2006-01-01,,,,,,,,,
PVT Doubi Nursery And Basic School (32151147),Lf5LiiZd0eo,32151147,NGKTK44Mo4p,PVT Doubi Nursery And Basic School (32151147),,1994-01-01,,,,,,,,,
PVT Dorttin International School (32151146),Khg5jEVXy1o,32151146,NGKTK44Mo4p,PVT Dorttin International School (32151146),,1900-01-01,,,,,,,,,
PVT Doneletty International School (32151144),k31Ce3U2aos,32151144,NGKTK44Mo4p,PVT Doneletty International School (32151144),,2009-01-01,,,,,,,,,
PVT Dominion Seeds Achievers Academy (32151143),oXCuO0eKRAu,32151143,NGKTK44Mo4p,PVT Dominion Seeds Achievers Academy (32151143),,2019-01-01,,,,,,,,,
PVT Divine Kingdom Montessori And High School (32151135),srandCuxbCb,32151135,NGKTK44Mo4p,PVT Divine Kingdom Montessori And High School (3,,2019-01-01,,,,,,,,,
PVT Divine Flourish Academy (32151133),bxbO8jHHqdd,32151133,NGKTK44Mo4p,PVT Divine Flourish Academy (32151133),,2018-01-01,,,,,,,,,
PVT Divine Connection Academy (32151132),pPKUAyPCuDQ,32151132,NGKTK44Mo4p,PVT Divine Connection Academy (32151132),,2013-01-01,,,,,,,,,
PVT Divine Angels School (32151129),Q7pAE5Ti48E,32151129,NGKTK44Mo4p,PVT Divine Angels School (32151129),,2007-01-01,,,,,,,,,
PVT Divine Precept Education (32151125),XO0sqmXglYA,32151125,NGKTK44Mo4p,PVT Divine Precept Education (32151125),,2012-01-01,,,,,,,,,
PVT Diction Stars Montessori School (32151124),Uq8w7rGM00v,32151124,NGKTK44Mo4p,PVT Diction Stars Montessori School (32151124),,2020-01-01,,,,,,,,,
PVT Diamond Sangard Nursery And Primary School (32151122),xTctiH8pS5l,32151122,NGKTK44Mo4p,PVT Diamond Sangard Nursery And Primary School (,,2017-01-01,,,,,,,,,
PVT Diamond Hill Montessori School (32151121),Re4urjOc0Zl,32151121,NGKTK44Mo4p,PVT Diamond Hill Montessori School (32151121),,2013-01-01,,,,,,,,,
PVT Deo Gracia Montessori School (32151114),hKkFqUqnGoa,32151114,NGKTK44Mo4p,PVT Deo Gracia Montessori School (32151114),,1900-01-01,,,,,,,,,
PVT Demasters International School (32151113),tMTs3rhvpp1,32151113,NGKTK44Mo4p,PVT Demasters International School (32151113),,2014-01-01,,,,,,,,,
PVT De Bristish Bridge Intl School (32151103),HKYxa1XAQYm,32151103,NGKTK44Mo4p,PVT De Bristish Bridge Intl School (32151103),,2015-01-01,,,,,,,,,
PVT Dap Group Of Schools Elioparanwo (32151095),XvKUOQKYTaP,32151095,NGKTK44Mo4p,PVT Dap Group Of Schools Elioparanwo (32151095),,2015-01-01,,,,,,,,,
PVT Daniels School Of Excellence (32151093),v9WVPkMhZpY,32151093,NGKTK44Mo4p,PVT Daniels School Of Excellence (32151093),,1900-01-01,,,,,,,,,
